Nama Sekolah,nama_sekolah_encoded,2016,2017,2018,2019,2020,2021,2022
SMA ABDI SEJATI PERDAGANGAN,0,1,2,0,1,0,0,2
SMA ADVENT PEMATANG SIANTAR,1,1,0,1,1,1,0,0
SMA ASISI PEMATANG SIANTAR,2,1,0,0,3,5,1,3
SMA BINTANG TIMUR BALIGE,3,70,54,53,110,46,48,53
SMA BINTANG TIMUR PEMATANG SIANTAR,4,30,19,6,7,18,8,2
SMA BRIGJEN KATAMSO 1 MEDAN,5,1,1,4,1,0,0,0
SMA BUDI MULIA PEMATANG SIANTAR,6,44,47,39,36,16,30,10
SMA BUDI MURNI 1 MEDAN,7,8,26,12,2,5,11,3
SMA BUDI MURNI 2 MEDAN,8,2,2,1,3,3,3,1
SMA CAHAYA MEDAN,9,14,11,6,1,2,1,0
SMA CINTA RAKYAT PEMATANG SIANTAR,10,5,3,0,1,2,1,1
SMA FRANSISKUS SIBOLGA,11,2,1,9,1,1,0,0
SMA GLOBAL PERSADA MANDIRI,12,1,0,0,1,0,0,0
SMA KALAM KUDUS MEDAN,13,1,3,11,1,1,6,0
SMA KAMPUS FKIP HKBP NOMENSEN,14,1,1,1,0,0,0,0
SMA KARTIKA JAYA 1-4,15,1,1,0,0,0,0,0
SMA KATOLIK KABANJAHE,16,1,0,0,3,2,4,2
SMA KATOLIK SIBOLGA,17,10,10,2,4,17,4,4
SMA KATOLIK TRISAKTI MEDAN,18,9,7,0,3,4,4,0
SMA KRISTEN IMMANUEL,19,1,1,2,3,0,0,0
SMA KRISTEN KALAM KUDUS PEMATANG SIANTAR,20,7,10,4,3,4,4,0
SMA MANDIRI TANGERANG,21,1,0,0,1,2,1,1
SMA MARKUS MEDAN,22,3,2,1,4,2,6,3
SMA MARS PEMATANG SIANTAR,23,3,0,0,0,0,0,0
SMA METHODIST 1 MEDAN,24,3,11,6,1,0,0,0
SMA METHODIST 2 MEDAN,25,6,11,12,2,0,0,0
SMA METHODIST 8 MEDAN,26,1,8,5,1,3,2,0
SMA METHODIST-AN PANCUR BATU,27,4,0,2,2,4,5,2
SMA NASRANI 1 MEDAN,28,1,0,1,1,3,2,0
SMA NEGERI 1 BABELAN,29,3,0,0,1,0,0,0
SMA NEGERI 1 BALIGE,30,130,192,136,78,80,46,43
SMA NEGERI 1 BANDAR,31,3,7,3,1,5,4,0
SMA NEGERI 1 BINJAI,32,2,5,1,2,1,0,0
SMA NEGERI 1 DOLOK PANRIBUAN,33,2,8,0,4,2,3,4
SMA NEGERI 1 DOLOK PARDAMEAN,34,1,0,0,1,0,0,0
SMA NEGERI 1 DOLOK SANGGUL,35,3,11,22,1,0,0,0
SMA NEGERI 1 GALANG DELI SERDANG,36,1,0,0,1,0,0,0
SMA NEGERI 1 GIRSANG SIPANGAN BOLON,37,24,21,22,15,13,11,5
SMA NEGERI 1 HABINSARAN,38,10,4,13,11,10,7,14
SMA NEGERI 1 KABANJAHE,39,1,0,1,2,2,1,5
SMA NEGERI 1 KOLANG,40,1,0,0,6,0,2,1
SMA NEGERI 1 KOTA SERANG,41,1,0,0,11,13,15,11
SMA NEGERI 1 KUALUH HULU,42,15,24,8,1,1,0,1
SMA NEGERI 1 LABUHAN DELI,43,1,0,0,1,0,0,0
SMA NEGERI 1 LAGUBOTI,44,62,92,106,105,62,30,42
SMA NEGERI 1 LIMAPULUH,45,1,0,0,5,3,4,2
SMA NEGERI 1 LINTONG NIHUTA,46,4,3,7,1,0,0,0
SMA NEGERI 1 LUBUK PAKAM,47,11,16,3,6,2,2,3
SMA NEGERI 1 LUMBAN JULU,48,10,18,17,19,13,6,4
SMA NEGERI 1 MANDAU,49,2,1,0,1,0,1,2
SMA NEGERI 1 MATAULI PANDAN,50,2,2,1,8,3,1,2
SMA NEGERI 1 MEDAN,51,4,21,6,8,2,1,1
SMA NEGERI 1 ONANRUNGGU,52,1,5,6,1,0,0,0
SMA NEGERI 1 PAGARAN,53,5,5,1,1,1,0,1
SMA NEGERI 1 PANCUR BATU,54,3,0,0,1,0,0,0
SMA NEGERI 1 PANGARIBUAN,55,9,2,10,4,17,4,4
SMA NEGERI 1 PANOMBEIAN PANEI,56,1,0,0,4,0,0,0
SMA NEGERI 1 PARMAKSIAN,57,1,5,2,5,0,2,4
SMA NEGERI 1 PEMATANG RAYA,58,3,0,0,18,10,11,16
SMA NEGERI 1 PEMATANG SIANTAR,59,11,20,4,12,14,11,10
SMA NEGERI 1 PERCIT SEI TUAN,60,1,3,1,1,2,1,1
SMA NEGERI 1 PINTUPOHAN MERANTI,61,10,9,9,6,7,3,2
SMA NEGERI 1 RANTAU UTARA,62,2,0,0,2,2,4,2
